competition,market_family,bookmaker,correlation_group,two_sided_line_count,target_snapshot_count,timestamped_snapshot_count,timestamp_complete_rate,eligible,two_sided_lines
LaLiga,HOME_TEAM_TOTAL_CORNERS,draftkings,DRAFTKINGS,1,25,25,1.0,True,4.5
LaLiga,AWAY_TEAM_TOTAL_CORNERS,draftkings,DRAFTKINGS,1,21,21,1.0,True,4.5
LaLiga,TOTAL_CORNERS,fanduel,FANDUEL,0,0,0,1.0,False,
LaLiga,HOME_TEAM_TOTAL_CORNERS,fanduel,FANDUEL,0,0,0,1.0,False,
LaLiga,AWAY_TEAM_TOTAL_CORNERS,fanduel,FANDUEL,0,0,0,1.0,False,
LaLiga,TOTAL_CORNERS,fourwinds,PARX_RIVERS_RETAIL,12,2174,2174,1.0,True,3.5;4.5;5.5;6.5;7.5;8.5;9.5;10.5;11.5;12.5;13.5;14.5
LaLiga,HOME_TEAM_TOTAL_CORNERS,fourwinds,PARX_RIVERS_RETAIL,9,1777,1777,1.0,True,1.5;2.5;3.5;4.5;5.5;6.5;7.5;8.5;9.5
LaLiga,AWAY_TEAM_TOTAL_CORNERS,fourwinds,PARX_RIVERS_RETAIL,9,1537,1537,1.0,True,0.5;1.5;2.5;3.5;4.5;5.5;6.5;7.5;8.5
LaLiga,TOTAL_CORNERS,hardrockbet,HARDROCK,0,0,0,1.0,False,
LaLiga,HOME_TEAM_TOTAL_CORNERS,hardrockbet,HARDROCK,0,0,0,1.0,False,
LaLiga,AWAY_TEAM_TOTAL_CORNERS,hardrockbet,HARDROCK,0,0,0,1.0,False,
Premier League,TOTAL_CORNERS,ballybet,PARX_RIVERS_RETAIL,12,4091,4091,1.0,True,5.5;6.5;7.5;8.5;9.5;10.5;11.5;12.5;13.5;14.5;15.5;16.5
Premier League,HOME_TEAM_TOTAL_CORNERS,ballybet,PARX_RIVERS_RETAIL,9,2927,2927,1.0,True,2.5;3.5;4.5;5.5;6.5;7.5;8.5;9.5;10.5
Premier League,AWAY_TEAM_TOTAL_CORNERS,ballybet,PARX_RIVERS_RETAIL,8,3077,3077,1.0,True,1.5;2.5;3.5;4.5;5.5;6.5;7.5;8.5
Premier League,TOTAL_CORNERS,betmgm,MGM,7,47,47,1.0,True,6.5;7.5;8.5;9.5;10.5;11.5;12.5
Premier League,HOME_TEAM_TOTAL_CORNERS,betmgm,MGM,0,0,0,1.0,False,
Premier League,AWAY_TEAM_TOTAL_CORNERS,betmgm,MGM,3,301,301,1.0,True,3.5;4.5;5.5
Premier League,TOTAL_CORNERS,betparx,PARX_RIVERS_RETAIL,12,4031,4031,1.0,True,5.5;6.5;7.5;8.5;9.5;10.5;11.5;12.5;13.5;14.5;15.5;16.5
Premier League,HOME_TEAM_TOTAL_CORNERS,betparx,PARX_RIVERS_RETAIL,10,2912,2912,1.0,True,2.5;3.5;4.5;5.5;6.5;7.5;8.5;9.5;10.5;11.5
Premier League,AWAY_TEAM_TOTAL_CORNERS,betparx,PARX_RIVERS_RETAIL,9,3039,3039,1.0,True,1.5;2.5;3.5;4.5;5.5;6.5;7.5;8.5;9.5
Premier League,TOTAL_CORNERS,betrivers,PARX_RIVERS_RETAIL,12,2723,2723,1.0,True,5.5;6.5;7.5;8.5;9.5;10.5;11.5;12.5;13.5;14.5;15.5;16.5
Premier League,HOME_TEAM_TOTAL_CORNERS,betrivers,PARX_RIVERS_RETAIL,9,1971,1971,1.0,True,2.5;3.5;4.5;5.5;6.5;7.5;8.5;9.5;10.5
Premier League,AWAY_TEAM_TOTAL_CORNERS,betrivers,PARX_RIVERS_RETAIL,8,2094,2094,1.0,True,1.5;2.5;3.5;4.5;5.5;6.5;7.5;8.5
Premier League,TOTAL_CORNERS,borgata,MGM,7,70,70,1.0,True,6.5;7.5;8.5;9.5;10.5;11.5;12.5
Premier League,HOME_TEAM_TOTAL_CORNERS,borgata,MGM,0,0,0,1.0,False,
Premier League,AWAY_TEAM_TOTAL_CORNERS,borgata,MGM,3,39,39,1.0,True,3.5;4.5;5.5
Premier League,TOTAL_CORNERS,draftkings,DRAFTKINGS,0,0,0,1.0,False,
Premier League,HOME_TEAM_TOTAL_CORNERS,draftkings,DRAFTKINGS,0,0,0,1.0,False,
Premier League,AWAY_TEAM_TOTAL_CORNERS,draftkings,DRAFTKINGS,0,0,0,1.0,False,
Premier League,TOTAL_CORNERS,fanduel,FANDUEL,0,0,0,1.0,False,
Premier League,HOME_TEAM_TOTAL_CORNERS,fanduel,FANDUEL,0,0,0,1.0,False,
Premier League,AWAY_TEAM_TOTAL_CORNERS,fanduel,FANDUEL,0,0,0,1.0,False,
Premier League,TOTAL_CORNERS,fourwinds,PARX_RIVERS_RETAIL,12,2368,2368,1.0,True,5.5;6.5;7.5;8.5;9.5;10.5;11.5;12.5;13.5;14.5;15.5;16.5
Premier League,HOME_TEAM_TOTAL_CORNERS,fourwinds,PARX_RIVERS_RETAIL,9,1764,1764,1.0,True,2.5;3.5;4.5;5.5;6.5;7.5;8.5;9.5;10.5
Premier League,AWAY_TEAM_TOTAL_CORNERS,fourwinds,PARX_RIVERS_RETAIL,8,1874,1874,1.0,True,1.5;2.5;3.5;4.5;5.5;6.5;7.5;8.5
Premier League,TOTAL_CORNERS,hardrockbet,HARDROCK,0,0,0,1.0,False,
Premier League,HOME_TEAM_TOTAL_CORNERS,hardrockbet,HARDROCK,0,0,0,1.0,False,
Premier League,AWAY_TEAM_TOTAL_CORNERS,hardrockbet,HARDROCK,0,0,0,1.0,False,
